Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
40Л.docx,3.91,1,13.04,19.57,17.83,9.57,16.09,12.61,23.04,8.7,3.91,1,жен.,70.75,0.5724381625,3.8303886926,0.8086419753,648.9102270995
40П.docx,2.42,1,13.82,17.89,15.45,7.32,21.14,7.32,26.83,10.48,2.42,0,жен.,70.75,0.5724381625,3.8303886926,0.8086419753,648.9102270995
41Л.docx,5.05,1,12.12,19.53,12.46,11.78,22.22,9.09,22.22,11.78,5.72,1,муж.,13.3333333333,0.5333333333,3.9416666667,0.7291666667,608.7239583333
41П.docx,2.42,1,13.11,17.21,13.11,13.11,22.95,5.74,14.75,10.48,2.48,0,муж.,13.3333333333,0.5333333333,3.9416666667,0.7291666667,608.7239583333
42Л.docx,5.37,1,12.4,19.83,14.88,10.74,21.49,7.44,16.53,10.33,5,1,жен.,17.5,0.5892857143,4.1321428571,0.7818181818,459.5041322314
42П.docx,4.61,1,5.99,11.52,17.05,6.91,16.13,11.52,22.12,5.07,4.63,0,жен.,17.5,0.5892857143,4.1321428571,0.7818181818,459.5041322314
43Л.docx,5.45,1,16.08,13.83,14.47,9.32,20.9,9.32,20.26,11.25,5.77,1,жен.,14.2692307692,0.5498652291,4.0458221024,0.7647058824,616.8300653595
43П.docx,5.08,1,12.88,20.68,15.25,10.17,18.31,9.83,21.36,8.16,5.08,0,жен.,14.2692307692,0.5498652291,4.0458221024,0.7647058824,616.8300653595
44Л.docx,4.14,1,10,14.83,16.21,7.59,17.93,8.62,18.28,8.28,4.15,1,жен.,18.0526315789,0.5976676385,4.3644314869,0.8292682927,516.3593099346
44П.docx,3.76,1,13.15,16.9,15.02,8.92,15.96,5.63,16.43,9.86,4.72,0,жен.,18.0526315789,0.5976676385,4.3644314869,0.8292682927,516.3593099346
45Л.docx,2.08,1,4.17,14.58,6.25,4.17,22.92,4.17,39.58,4.17,2.08,1,муж.,7.4444444444,0.6567164179,3.5671641791,0.8409090909,924.5867768595
45П.docx,2.33,1,8.14,10.47,19.77,3.49,9.3,5.81,25.58,5.81,2.33,0,муж.,7.4444444444,0.6567164179,3.5671641791,0.8409090909,924.5867768595
46Л.docx,6.56,1,10.66,13.11,14.75,6.56,17.21,14.75,18.03,3.28,6.56,1,муж.,9,0.625,4.1180555556,0.8222222222,604.9382716049
